UTS
283.0
185.0
554.0
346.0
428.0
442.3
235.0
478.0
430.0
390.0
494.0
525.0
496.0
453.0
233.0
150.0
432.0
172.0
427.0
310.0
230.0
432.2
405.0
310.0
220.5
245.0
314.0
451.0
476.0
397.0
400.0
260.0
141.6
412.0
402.0
580.9
340.0
270.0
205.0
565.0
488.0
360.0
270.0
428.0
423.6
307.0
540.0
310.0
455.0
489.0
380.0
310.0
311.0
510.0
282.0
431.0
503.0
578.0
286.0
460.0
493.0
541.6
425.0
215.0
431.0
555.0
321.0
555.0
229.0
638.0
480.4
205.0
380.0
538.0
468.0
502.9
460.0
503.0
225.0
482.0
395.0
576.0
238.0
214.0
241.0
244.0
75.0
566.5
589.0
448.0
345.0
369.0
529.0
559.4
408.0
466.0
271.0
610.0
310.0
180.0
400.0
415.0
498.0
546.7
526.8
380.0
464.0
506.0
462.0
588.9
400.0
360.0
489.0
515.0
368.0
233.0
467.0
239.0
542.0
589.5
260.0
475.0
278.0
249.6
341.0
588.0
475.0
424.0
463.0
355.0
325.0
455.0
387.0
429.0
588.8
310.0
323.0
506.0
345.0
445.0
258.0
641.0
575.0
529.2
276.0
457.0
340.0
324.0
525.0
486.0
260.0
351.0
475.0
373.0
409.0
496.0
543.9
271.0
150.0
380.0
180.0
518.3
355.0
349.3
473.0
660.0
419.0
535.9
185.0
295.0
260.0
400.0
229.0
342.0
230.0
360.0
485.0
275.0
542.2
280.0
489.6
530.0
239.0
482.2
310.0
296.0
576.7
487.0
454.0
433.0
643.0
428.2
458.0
310.0
453.0
180.0
588.0
447.0
358.0
245.0
571.5
150.0
260.0
360.0
354.0
400.0
256.0
624.7
295.0
278.0
425.0
530.0
460.0
440.0
96.0
594.4
485.0
372.0
310.0
679.0
248.0
240.0
457.0
260.0
344.0
474.2
636.0
290.0
524.0
290.0
420.0
404.0
274.0
191.0
281.2
601.8
585.0
145.0
180.0
565.1
414.0
460.0
483.0
406.0
125.0
470.0
360.0
280.0
181.0
339.0
280.0
509.0
525.0
311.0
500.0
390.0
450.0
475.0
282.0
502.0
484.0
180.0
210.0
507.0
463.0
180.0
310.0
324.0
451.6
604.4
490.0
392.0
587.9
170.0
345.0
496.0
511.0
574.0
505.0
539.7
235.0
311.0
405.0
310.0
185.0
390.0
295.0
605.0
390.0
250.0
511.0
641.9
385.0
409.0
502.0
580.5
359.0
323.0
190.0
292.0
482.0
305.0
446.0
450.0
530.0
469.0
330.0
426.0
178.0
250.0
470.0
440.0
220.0
270.0
382.0
380.0
459.0
145.0
589.4
427.0
449.0
271.0
460.0
420.0
236.0
387.0
255.0
337.0
476.0
222.0
380.0
508.2
515.0
436.0
543.2
309.0
425.0
469.0
233.0
365.0
395.0
568.0
410.7
490.0
185.0
262.0
185.0
420.0
425.0
469.0
533.0
487.0
202.6
360.0
312.0
315.0
616.0
544.0
405.0
255.0
506.0
354.0
498.0
567.4
