Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,100,30,589
0.6,0.4,0.3,0.12,1.01,0.2,0.18,0,0,0,0,0,0,0,0,0,0,97.19,500,190,3,304
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,16,581.2
0,0,6,0,0,0,0,0,0,0.17,2.54,0,0,0,0,0,0,91.29,510,150,48,554.7
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,2,439
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,8,581.3
1.4,0,1,0.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.7,530,175,8,360
0,0,1.6,0,2.2,0.22,5.7,0,0,0,0,0,0,0,0,0,0,90.28,510,120,24,585
1.4,0,0.28,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,96.82,545,160,18,380
0.44,0.25,3.8,0.68,0.56,0.02,0.02,0,0,0,0,0,0,0,0,0,0,94.23,500,25,0,414
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,0.17,542.1
1,0.25,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.45,505,170,6,310
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,20,547.7
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,16,572.9
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,7,607.4
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,525
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,525
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,25,1440,380
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,25,0,478
0.8,0,4.4,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0,0,93.35,505,25,48,443
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,9,604.8
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,6,563.5
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,48,551.6
1.35,0.5,0.95,0.85,1.1,0.4,0.25,0,0.2,0,0,0,0,0,0,0,0,94.4,530,175,8,360
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,8,449
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,480,120,24,543
0.2,0.57,1.76,0.15,3.64,0.5,6.04,0,0,0,0,0,0,0,0,0,0,87.14,490,25,0,500
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,165,24,475
0,0,6,0,0,0,0,0,0,0.17,2.54,0,0,0,0,0,0,91.29,510,150,50,554
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,7,585.2
0,0,2.6,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,97.05,500,170,10,295
0,0,4.5,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,495,160,16,475
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,40,614.6
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,100,24,530.8
0.04,0.08,1.21,0.26,2.6,0,6.87,0,0.03,0,0,0,0.001,0,0,0,0,88.909,488,121,24,580.5
0.3,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.77,480,25,720,530
0.5,0.5,2.6,0.25,0.45,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,95.2,500,25,0,315
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,64,543.3
1,0.5,0.1,0.6,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0,0,96.8,505,170,6,310
0,0,4.5,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,495,25,48,472.5
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,25,0,328
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,175,8,470
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,16,543.6
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,96,543.2
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,1,428.2
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,230,0.5,440
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,205,2,440
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,14,584
0.04,0.08,1.22,0.39,2.61,0,6.76,0,0.02,0,0,0,0.001,0,0,0,0,88.879,488,121,24,589.5
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8,241
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,48,598.3
0.03,0.06,1.18,0,2.46,0,6.72,0,0.05,0.18,0,0,0.002,0,0,0,0,89.318,488,121,24,628.8
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,135,120,475
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,60,489.6
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,495,190,12,500
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,16,586.8
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,96,238.4
0.95,0.65,2.2,0.6,0.6,0,0.3,0,0.15,0,0,0.1,0,0,0,0,0,94.45,512.2,155,9,380
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,260,0.1,420
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,170,24,484
0.035,0.071,0.768,0,1.58,0,7.9,0,0,0.142,0,0,0,0,0,0,0,89.504,470,120,24,571
1,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.8,505,170,6,310
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,175,18,455
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,24,467
