feature,importance
Al,0.44953023524386365
Mg,0.1288493261651929
EL,0.09604517002707136
Zn,0.09533640876120202
Cu,0.08096373470288999
Si,0.06267869626373275
Fe,0.016697019272887796
Zr,0.01500079681722451
Mn,0.01352353168785822
Ag,0.008744771148383809
Cr,0.008348228937628615
Ti,0.00688322257383641
Li,0.006794053083500378
Ni,0.004830466821471436
V,0.003079524835916028
Sc,0.002277134594725965
Be,0.00039562758464629927
Pb,1.4010597351233124e-05
Bi,8.040880616581076e-06
B,0.0
