feature,importance
Al,0.28523543
Zr,0.13648215
Zn,0.103126936
SS Temp,0.08134612
Mg,0.06461005
Ageing Temp,0.038093656
Cu,0.032172192
Li,0.030893892
Ni,0.029295146
EL,0.028878495
Ageing Time,0.027756704
Mn,0.024032125
Be,0.021480653
Si,0.020206757
V,0.01764899
Cr,0.017041089
Ti,0.015719403
Fe,0.014362388
Sc,0.01161787
Pb,0.0
Ag,0.0
Bi,0.0
