feature,importance
Al,1409
Cu,1092
Mg,1073
Mn,679
Fe,659
Si,581
Zn,515
Cr,297
Li,277
Ti,260
Zr,251
Ag,7
V,0
Be,0
Ni,0
Sc,0
B,0
Bi,0
Pb,0
