feature,importance
Al,956
Ageing Time,909
Ageing Temp,616
Cu,612
Mg,589
SS Temp,501
Zn,416
Si,378
Cr,343
Fe,315
Mn,303
Zr,243
Ti,150
Li,65
Sc,5
V,0
Ni,0
Be,0
Pb,0
Ag,0
Bi,0
