Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,14
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,205,3
0.6,0.7,0.275,0.15,1,0.195,0.25,0,0.15,0,0,0,0,0,0,0,0,96.68,530,160,18
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,177,18
0.8,0,4.5,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,93.4,505,177,18
0,0,0.39,0.28,2.02,0,5.48,0,0,0.11,0,0,0,0.26,0,0,0,91.46,470,120,24
0.08,0.16,4.35,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.31,495,25,0
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,12
1.18,0.191,1.13,0,1.58,0.169,0,0.151,0.032,0,0,0,0,0,0,0,0,95.567,550,170,24
0,0,10,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,89.75,510,155,11
0,0,0.39,0.28,2.02,0,5.48,0,0,0.11,0,0,0,0.26,0,0,0,91.46,490,120,24
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18
0.4,0.175,0.1,0.1,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.55,520,175,8
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,5
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,4
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,16
0.5,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,98.9,510,170,7
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,100,2
0.16,0.28,4.52,0.58,1.62,0,0.2,0,0.1,0,0,0.1,0,0,0,0,0,92.44,495,160,3
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92,495,160,90
0.44,0.25,3.8,0.68,0.56,0.02,0.02,0,0,0,0,0,0,0,0,0,0,94.23,500,25,0
0.05,0.06,1.2,0,2.38,0,6.64,0,0.03,0,0,0,0,0,0,0,0,89.64,488,121,24
0,0,1.6,0,2.5,0.25,5.6,0,0,0,0,0,0,0,0,0,0,90.05,465,110,15
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,9
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18
0,0,0.37,0.28,1.96,0,5.45,0,0,0.11,0,0,0,0.26,0,0,0,91.57,470,120,48
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,120,12
1.35,0.25,0.95,0.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.5,530,175,8
0.12,0.15,2.3,0.1,2.25,0.04,6.2,0,0.06,0.115,0,0,0,0,0,0,0,88.665,475,177,9
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,9
0.5,0.7,4,0.7,0.6,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,93,500,160,18
0,0,1.6,0,2.2,0.22,5.7,0,0,0,0,0,0,0,0,0,0,90.28,515,155,3
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,175,8
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,190,10
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,1
0.6,0.35,0.275,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,97.625,530,160,18
0.01,0.01,4.3,0,0,0,0,0,0,0.14,1.18,0,0,0,0,0,0,94.36,530,25,0
0,0,5.3,0,0,0,0,0,0,0.17,2.49,0,0,0,0,0,0,92.04,510,150,50
0.11,0.18,0.33,0.32,1.98,0,5.41,0,0,0.1,0,0,0,0.25,0,0,0,91.32,470,120,24
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,16
0,0,6,0,0,0,0,0,0,0.17,2.54,0,0,0,0,0,0,91.29,510,150,50
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,4
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.2,500,160,18
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,12
0,0,0.37,0.28,1.96,0,5.45,0,0,0.11,0,0,0,0.26,0,0,0,91.57,470,120,12
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,40
0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,99.1,538,200,4
0.04,0.1,3.49,1.31,2.15,0.002,0,0,0,0,0,0,0,0,0,0,0,92.908,496,190,8
0,0,1.6,0,2.5,0,5.6,0,0,0,0,0,0,0,0,0,0,90.3,460,135,12
0.04,0.05,4.22,0,0.54,0,0,0,0,0.16,1.31,0,0,0,0,0,0,93.68,530,160,88
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,480,120,24
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,90,1
0,0,2.6,0.25,0.45,0,0,0,0,0,0,0,0,0,0,0,0,96.7,500,170,10
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,180,20
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,497,290,1
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,48
0.01,0.08,5.64,0.33,0.23,0,0,0.09,0.11,0.15,0,0,0,0,0,0,0,93.36,530,190,3
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,25,0
0,0,1.2,0,2,0,0,0,0,0.12,2.5,0,0,0,0,0,0,94.18,500,160,36
0,0,0.37,0.28,1.96,0,5.45,0,0,0.11,0,0,0,0.26,0,0,0,91.57,470,120,24
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,24
0.81,0.27,4.27,0.74,0.52,0.02,0.09,0,0.02,0,0,0,0,0,0,0,0,93.26,500,170,12
0,0,0.19,0,2.55,0,6.98,0,0,0.29,0,0,0,0.27,0,0,0,89.72,470,25,0
0.3,0.4,4.4,0.6,1.6,0.1,0.2,0,0,0,0,0,0,0,0,0,0,92.4,495,190,12
0.04,0.08,1.15,0.31,2.41,0.05,6.85,0,0.03,0.13,0,0,0.001,0,0,0,0,88.949,488,121,24
1.35,0.25,0.275,0.7,0.85,0,0,0,0,0,0,0,0,0,0,0,0,96.575,545,160,18
0,0,3.7,0.3,0.37,0,0.5,0,0,0.14,1.5,0,0,0,0,0,0,93.49,520,165,60
0,0,0.22,0,2.46,0,6.8,0,0,0,0,0,0,0,0,0,0,90.52,470,120,24
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,175,18
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.05,495,190,12
0.4,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,98.9,520,175,8
0,0,1.2,0,2.5,0,0,0,0,0.12,2.5,0,0,0,0,0,0,93.68,500,160,36
0.03,0.08,1.18,0.51,2.41,0.1,6.57,0,0.05,0.16,0,0,0.001,0,0,0,0,88.909,488,121,24
1,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.8,505,170,6
0.5,0.5,4.5,0.58,1.5,0.01,0.25,0,0.15,0,0,0,0,0,0,0,0,92.01,500,180,6
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,0.17
0.3,0.4,0.1,0.25,2.8,0.2,4,0,0.1,0,0,0,0,0,0,0,0,91.85,495,120,22
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,5
0.04,0.07,1.2,0,2.42,0.04,6.66,0,0.03,0,0,0,0.004,0,0,0,0,89.536,488,121,24
0,0,4.09,0,0.7,0,0.39,0,0,0.14,0.98,0,0,0,0,0,0,93.7,500,25,0
0,0,0.75,0,1.76,0,2.22,0,0,0.12,2.59,0,0,0,0,0,0,92.56,530,185,48
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,520,175,8
0,0.93,2.23,0,1.21,0,0,0,0,0.3,0,1.09,0,0.3,0,0,0,93.94,510,200,18
0.05,0.05,0.98,0.32,1.45,0,2.88,0,0,0.11,1.81,0,0,0,0,0,0,92.35,525,160,40
0.04,0.07,1.19,0,2.42,0.04,6.9,0,0.04,0.08,0,0,0.002,0,0,0,0,89.218,488,121,24
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,10
0.56,0.22,0.24,0.02,1.01,0.06,0.01,0,0,0,0,0,0,0,0,0,0,97.88,530,100,48
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,18
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,495,190,12
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,0.5
0.4,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,98.9,520,175,8
0.85,1,4.45,0.8,0.05,0.1,0.25,0,0.15,0,0,0,0,0,0,0,0,92.35,515,170,10
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,1.5
1,0.25,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.45,505,170,6
0,0,0,0.35,1.98,0,5.42,0,0,0.12,0,0,0,0.24,0,0,0,91.89,470,120,24
0.2,0.3,6.3,0.3,0.02,0,0.1,0.1,0.08,0.175,0,0,0,0,0,0,0,92.425,535,190,26
