feature,coefficient
Si,-31.48708046056386
Cu,10.980131421035706
Mn,38.06835788270822
Mg,-25.6815012102132
Cr,10.129407345730195
Zn,-0.0
Ti,0.0
Ni,-14.155545987084066
Ag,24.34421773624415
Al,9.594953016273205
<intercept>,258.6956521739131
