,model,cv_r2_mean,cv_r2_std,train_r2,train_mape,test_r2,test_mape,test_mae,test_rmse
Ridge,Ridge,0.36494341419058174,0.36469387536211545,0.8692643954719956,9.385449313151254,0.5158218128459886,16.597261805657816,38.799630948707026,53.10402837568478
Lasso,Lasso,0.16318288768895017,0.4163257792731787,0.8695551263095778,9.527636740132717,0.4527582090955743,17.90066512641629,42.11005187897634,56.456569436701585
LIN,LIN,-131948.58844503923,262220.5192906026,0.8778101312085063,8.854898594432884,0.10096655375754693,22.020760269523176,51.6951547709308,72.36236986325275
