feature,importance
Ni,0.27761316
Al,0.18676484
Zr,0.09669885
Zn,0.07954499
SS Temp,0.057592925
Mg,0.05715695
Cu,0.03330017
Ageing Temp,0.030602796
Li,0.027191296
Mn,0.024817064
V,0.022548418
Si,0.02186445
Ageing Time,0.019635921
Fe,0.019172441
Cr,0.018981854
Ti,0.017892206
Sc,0.0044325925
Be,0.0041890787
Pb,0.0
Ag,0.0
Bi,0.0
