feature,importance
UTS,1551
Ageing Time,828
Al,715
Mg,542
Ageing Temp,520
Cu,515
Zn,390
SS Temp,376
Si,319
Fe,278
Cr,272
Mn,241
Zr,146
Li,105
Ti,77
Sc,1
V,0
Ni,0
Be,0
Pb,0
Ag,0
Bi,0
