,degree,cv_r2_mean,cv_r2_std,train_r2,train_mape,test_r2,test_mape,test_mae,test_rmse
POLY_deg2,2.0,-216.21211089192047,364.98878034361803,0.8474856200311214,11.502690025042545,0.712515370871879,14.675581083932043,47.66315370629713,69.27286914740294
POLY_deg3,3.0,-4152616.9594687396,8305214.361464319,0.9219544439439247,7.905411002151376,-7.067343267592934,28.935225019703193,84.47559658629739,366.96202975585504
POLY_deg4,4.0,-311243391039.37854,622485959082.1487,0.9480267455035083,5.973052920306179,-426.2524081726577,92.5557319522778,234.49223293945306,2670.534055550104
