feature,importance
Ageing Time,9805
Ageing Temp,4780
Al,4255
Mg,3191
Cu,2998
SS Temp,2424
Zn,2090
Zr,1615
Si,1510
Fe,1507
Cr,1163
Mn,1010
Sc,905
Ti,615
Li,584
Ni,88
Be,28
V,19
Pb,0
Ag,0
Bi,0
