feature,importance
EL,5170
Ageing Time,2935
Al,1691
Ageing Temp,1464
Cu,1386
Mg,1343
Si,838
SS Temp,776
Zn,721
Fe,638
Cr,626
Mn,566
Zr,520
Li,319
Ti,281
Sc,89
Ni,13
V,0
Be,0
Pb,0
Ag,0
Bi,0
