EL
20.0
14.7
16.3
21.8
13.0
11.3
42.0
16.7
17.7
5.0
15.0
23.4
10.0
19.4
3.9
2.0
16.5
13.0
9.0
4.0
25.4
14.0
8.3
5.3
8.0
10.0
13.0
6.0
15.3
5.8
1.69
11.1
8.2
8.0
23.3
17.6
20.0
7.7
10.0
9.0
9.0
9.0
20.0
11.4
11.0
11.0
8.0
4.0
19.1
20.2
3.7
19.3
1.0
16.3
12.0
18.5
15.4
10.3
12.8
22.0
19.0
8.5
21.0
15.3
10.0
9.0
32.9
39.0
10.7
11.0
22.6
11.7
12.7
19.3
15.5
20.0
9.5
15.2
10.6
12.0
11.2
15.3
17.5
13.3
10.0
23.6
26.3
16.0
9.5
24.1
22.0
20.9
10.0
19.4
12.0
19.0
11.3
15.9
17.5
12.4
6.0
3.0
10.4
24.9
6.5
17.5
12.0
16.0
6.0
13.4
16.1
8.6
4.7
18.68
9.0
9.8
16.9
10.0
8.2
14.2
13.0
7.0
31.1
17.2
14.0
16.2
13.0
15.5
17.0
7.9
14.4
23.0
4.2
5.0
15.0
4.3
7.0
13.0
10.0
5.4
17.0
10.0
21.9
5.0
12.5
14.0
16.1
22.3
3.0
6.0
34.0
9.0
21.5
24.0
9.9
3.1
5.5
8.8
6.0
5.0
9.0
3.7
13.0
6.0
13.0
1.7
10.0
17.5
20.5
2.7
17.8
4.0
16.0
18.0
22.7
10.0
16.6
30.0
6.0
14.3
11.4
15.0
17.5
11.7
1.83
10.0
2.0
12.3
6.8
20.0
19.5
25.6
12.7
15.5
17.1
3.0
13.0
12.0
33.0
8.2
20.0
4.6
19.7
24.0
22.0
14.0
22.0
2.0
14.5
7.0
15.4
15.0
12.4
11.0
4.7
8.0
16.0
16.5
11.1
4.1
11.0
47.9
14.0
12.5
10.0
10.0
10.8
6.1
16.0
15.0
12.4
16.0
24.0
14.8
10.1
9.7
12.0
11.6
7.0
12.0
9.0
13.8
22.0
10.0
12.8
11.0
5.0
16.4
25.2
10.0
6.0
13.0
14.3
11.0
6.5
15.0
13.0
25.0
18.0
12.3
10.0
24.6
19.6
13.0
8.9
12.0
12.2
15.5
7.6
11.0
19.75
11.0
11.0
12.0
4.7
4.4
13.0
16.1
12.3
29.1
10.8
12.0
2.4
16.0
28.0
6.3
3.0
20.0
15.5
10.9
15.9
13.7
41.6
12.0
11.0
9.0
18.8
11.8
1.0
12.0
9.0
2.0
7.9
18.2
28.4
7.0
1.8
25.2
8.0
11.0
5.5
15.4
13.6
16.9
17.0
6.0
15.0
10.0
24.5
3.0
13.2
18.8
10.0
7.6
16.5
17.0
23.0
17.3
2.8
11.7
16.9
4.0
15.7
12.6
11.0
11.0
10.0
3.6
9.0
12.0
14.5
14.0
12.0
15.1
17.0
14.0
5.4
9.1
22.0
12.7
9.0
8.4
24.1
10.0
17.0
10.0
27.0
13.2
0.5
16.0
14.9
20.0
8.9
3.0
17.0
7.0
6.0
21.1
12.0
