Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al
-0.33142428369206695,-0.494041900438626,0.19959000055245088,-0.7619032428850965,0.8139931199338122,-0.46168283380229613,1.543895735728249,-0.16357584502200528,-0.22697052549935098,0.7583570414157643,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.5173498746051781
-0.33142428369206695,-0.494041900438626,0.19959000055245088,-0.7619032428850965,0.8139931199338122,-0.46168283380229613,1.543895735728249,-0.16357584502200528,-0.22697052549935098,0.7583570414157643,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.5173498746051781
-0.33142428369206695,-0.494041900438626,0.19959000055245088,-0.7619032428850965,0.8139931199338122,-0.46168283380229613,1.543895735728249,-0.16357584502200528,-0.22697052549935098,0.7583570414157643,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.5173498746051781
0.29222191503851674,1.285173348044525,1.281578909634158,1.3635630634847933,0.23810975020666836,0.6992727096572027,-0.797160560230999,-0.16357584502200528,0.5611315458379691,-0.16166887965024013,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-0.19396254831128176
-0.40850415095090314,-0.7412677094533691,-1.0717469676185556,-0.7891712103537176,-0.9398335060533987,4.369311308580802,1.3069845792796435,-0.16357584502200528,0.5611315458379691,-0.8188302518402435,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-0.24014118346704796
-0.33142428369206695,-0.494041900438626,0.19959000055245088,-0.7619032428850965,0.8139931199338122,-0.46168283380229613,1.543895735728249,-0.16357584502200528,-0.22697052549935098,0.7583570414157643,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.5173498746051781
-0.3944896296311147,-0.6602100671534533,-0.3197646758067688,-0.7891712103537176,0.3428158174297855,-0.5240734899839973,1.4784334424990289,-0.16357584502200528,-0.22697052549935098,0.7583570414157643,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.0159422540838894
-0.40850415095090314,-0.7412677094533691,1.1409203514535362,-0.7891712103537176,-0.8089509220245024,-0.5240734899839973,-0.753519031411519,-0.16357584502200528,-0.22697052549935098,1.0212215902917658,0.7936228365437952,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,0.32939531678738276
-0.3804751083113263,-0.5791524248535375,-0.10336689399042726,-0.7891712103537176,0.23810975020666836,-0.5240734899839973,1.4347919136795493,-0.16357584502200528,-0.01680997314273228,0.3640602181017624,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,-1.0836709189790101
-0.0020830326770396256,0.960942778844862,1.2004297414530303,1.471199777176719,-0.07600845146268284,-0.5240734899839973,-0.8750918616943562,-0.16357584502200528,-0.22697052549935098,-0.8188302518402435,-0.42161213191389113,-0.16163342006058593,-0.13371023408270039,-0.33107732963478004,-0.07412493166611012,-0.08979818088466006,-0.08979818088466006,0.17546653293483463
