Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS-real,UTS-pred,error
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,185,48,475,475.22,0.05%
0.49,0.24,0.31,0.01,1.01,0.055,0.05,0.01,0,0,0,0.06,0,0,0,0,0,97.765,530,25,504,305,305.17,0.05%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,48,248.9,249.06,0.07%
0,0,1.6,0,2.5,0.23,5.6,0,0,0,0,0,0,0,0,0,0,90.07,480,120,24,570,570.62,0.11%
0,0,1.6,0,2.5,0,5.6,0,0,0,0,0,0,0,0,0,0,90.3,460,135,12,560,560.66,0.12%
0,0,0.22,0,2.49,0,7.11,0,0,0.4,0,0,0,0.22,0,0,0,89.56,470,25,0,489,488.40,0.12%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,36,566.4,565.69,0.12%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,12,581.5,582.23,0.13%
0.14,0.01,3.87,0.01,0.6,0,0.001,0,0,0,0,0,0,0,0,0,0,95.369,500,160,24,408,407.48,0.13%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,12,522.4,521.66,0.14%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,24,575,574.17,0.15%
0,0,3.89,0,0,0,0,0,0,0.18,2.5,0,0,0,0,0,0,93.43,510,150,32,589,589.87,0.15%
0.3,0.4,4.4,0.6,1.6,0.1,0.2,0,0,0,0,0,0,0,0,0,0,92.4,495,190,12,476,476.81,0.17%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,20,576.7,577.94,0.22%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,12,593.5,594.79,0.22%
0.05,0.07,1.22,0,2.39,0,6.58,0,0.03,0.11,0,0,0.002,0,0,0,0,89.548,488,121,24,587.9,589.22,0.22%
0,0,5.3,0,0,0,0,0,0,0.17,2.49,0,0,0,0,0,0,92.04,510,150,48,565.1,563.83,0.23%
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,120,24,616,617.39,0.23%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,460,120,24,544.9,543.66,0.23%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,28,546.7,545.44,0.23%
0.3,0.4,4.37,0.6,1.29,0.05,0.075,0,0.009,0,0,0,0,0,0,0,0,92.906,497,190,16,525,523.71,0.25%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,8,458,456.85,0.25%
0.4,0.35,0.1,0.1,0.675,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,98.075,525,175,168,222.4,221.82,0.26%
0,0,0.19,0,2.55,0,6.98,0,0,0.29,0,0,0,0.27,0,0,0,89.72,470,25,0,468,466.78,0.26%
0,0,2.24,0,1.95,0,7.82,0,0,0.16,0,0,0,0,0,0,0,87.83,470,150,8,627,625.19,0.29%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,36,541.6,540.02,0.29%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,9,589.4,591.21,0.31%
0.15,0.2,1.6,0.1,2.5,0.23,5.6,0,0.1,0,0,0,0,0,0,0,0,89.52,515,147.5,24,524,522.30,0.33%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,450,120,24,544.6,542.76,0.34%
0.4,0.6,0.65,0.55,1.6,0,7.5,0,0.2,0,0,0,0,0,0,0,0,88.5,493,120,24,485,483.25,0.36%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,48,451,452.63,0.36%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,150,8,542,539.90,0.39%
0.02,0.04,1.79,0,1.5,0,7.41,0,0.04,0.09,0,0,0,0,0,0,0,89.11,480,150,8,542,539.90,0.39%
1.35,0.25,0.95,0.85,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.5,530,175,8,364,365.42,0.39%
0,0,1.1,0,0.61,0,2.08,0,0,0.12,2.38,0,0,0,0,0,0,93.71,525,190,10,500,498.04,0.39%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,24,551.9,549.69,0.40%
0,0,1.07,0,1.07,0,3.4,0,0,0.1,1.8,0,0,0,0,0,0,92.56,530,185,16,489,491.00,0.41%
0,0,5.3,0,0,0,0,0,0,0.17,2.49,0,0,0,0,0,0,92.04,510,150,50,564,561.69,0.41%
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,12,485,487.05,0.42%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,28,569.8,567.33,0.43%
0.04,0.07,1.2,0,2.42,0.04,6.66,0,0.03,0,0,0,0.004,0,0,0,0,89.536,488,121,24,575,577.55,0.44%
0.4,0.175,0.1,0.1,0.675,0,0,0,0,0,0,0,0,0,0,0,0,98.55,520,175,8,215,213.99,0.47%
0.85,0.7,4.45,0.8,0.5,0.1,0.25,0,0.15,0.05,0,0,0,0,0,0,0,92.15,500,160,18,457,459.25,0.49%
0,0,1.1,0,0.61,0,2.08,0,0,0.12,2.38,0,0,0,0,0,0,93.71,525,25,1440,372,373.86,0.50%
0,0,4.4,0.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,93.5,495,190,8,495,497.70,0.55%
0.082,0.35,0.12,0.3,2.3,0,5.2,0,0,0.13,0,0,0,0,0,0,0,91.518,470,120,24,457,454.44,0.56%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,40,514.8,511.87,0.57%
0.08,0.16,0.34,0.33,1.91,0,5.39,0,0,0,0,0,0,0,0,0,0,91.79,470,120,36,485,487.83,0.58%
0.15,0.26,1.5,0,2.4,0,5.7,0,0,0,0,0,0,0,0,0,0,89.99,480,140,264,526.8,529.87,0.58%
0.85,1.3,2.2,0.2,1.6,0,0.3,0,0.15,0,0,1.2,0,0,0,0,0,92.2,527.5,172.5,11,355,357.09,0.59%
0.5,0.5,4.35,0.6,1.5,0.1,0.25,0,0,0,0,0,0,0,0,0,0,92.2,493,25,0,469,466.21,0.59%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,490,120,24,539.7,536.48,0.60%
0.2,0.5,4.1,0.6,1.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,93.2,500,100,30,589,585.40,0.61%
0.6,0.4,0.3,0.12,1.01,0.2,0.18,0,0,0,0,0,0,0,0,0,0,97.19,500,190,3,304,302.13,0.62%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,16,581.2,577.60,0.62%
0,0,6,0,0,0,0,0,0,0.17,2.54,0,0,0,0,0,0,91.29,510,150,48,554.7,551.18,0.63%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,185,2,439,436.21,0.63%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,8,581.3,577.52,0.65%
1.4,0,1,0.8,1.1,0,0,0,0,0,0,0,0,0,0,0,0,95.7,530,175,8,360,357.65,0.65%
0,0,1.6,0,2.2,0.22,5.7,0,0,0,0,0,0,0,0,0,0,90.28,510,120,24,585,581.12,0.66%
1.4,0,0.28,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,96.82,545,160,18,380,382.54,0.67%
0.44,0.25,3.8,0.68,0.56,0.02,0.02,0,0,0,0,0,0,0,0,0,0,94.23,500,25,0,414,411.15,0.69%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,0.17,542.1,538.22,0.72%
1,0.25,0.1,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,97.45,505,170,6,310,307.70,0.74%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,470,120,20,547.7,543.62,0.74%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,16,572.9,568.60,0.75%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,7,607.4,602.84,0.75%
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,525,529.00,0.76%
0.4,0.5,1.6,0.3,2.5,0.23,5.6,0,0.2,0,0,0,0,0,0,0,0,88.67,480,120,24,525,529.00,0.76%
0,0,1.22,0,0.63,0,0.92,0,0,0.1,2.57,0,0,0,0,0,0,94.56,525,25,1440,380,382.94,0.77%
0,0,0.21,0,2.6,0,6.84,0,0,0.18,0,0,0,0.37,0,0,0,89.8,470,25,0,478,474.22,0.79%
0.8,0,4.4,0.75,0.7,0,0,0,0,0,0,0,0,0,0,0,0,93.35,505,25,48,443,439.47,0.80%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,160,9,604.8,609.65,0.80%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,160,6,563.5,568.05,0.81%
0.01,0.02,1.39,0,1.58,0,7.55,0,0,0.12,0,0,0,0,0,0,0,89.33,475,140,48,551.6,556.10,0.82%
1.35,0.5,0.95,0.85,1.1,0.4,0.25,0,0.2,0,0,0,0,0,0,0,0,94.4,530,175,8,360,357.04,0.82%
0,0,1.24,0,0.7,0,0,0,0,0.12,2.49,0,0,0,0,0,0,95.45,530,170,8,449,452.70,0.82%
0.18,0.11,0.33,0.32,1.98,0,5.7,0,0,0.1,0,0,0,0.25,0,0,0,91.03,480,120,24,543,538.41,0.84%
0.2,0.57,1.76,0.15,3.64,0.5,6.04,0,0,0,0,0,0,0,0,0,0,87.14,490,25,0,500,504.25,0.85%
0,0,6.3,0.3,0,0,0,0.1,0.06,0.18,0,0,0,0,0,0,0,93.06,535,165,24,475,470.93,0.86%
0,0,6,0,0,0,0,0,0,0.17,2.54,0,0,0,0,0,0,91.29,510,150,50,554,549.18,0.87%
0.055,0.061,2.35,0.0076,1.94,0.0051,7.76,0,0,0.12,0,0,0,0,0,0,0,87.7013,477,120,7,585.2,579.91,0.90%
