feature,importance
Al,0.19738984
SS Temp,0.15330167
Zn,0.1349448
V,0.11532391
Si,0.07544741
Cu,0.057092026
Li,0.040582485
Ni,0.030878339
Ti,0.028304791
Zr,0.027373072
Ageing Time,0.024678756
Mg,0.024338724
Ageing Temp,0.022007285
Mn,0.015109444
Sc,0.012988679
Cr,0.011345029
Fe,0.009051413
Be,0.008542922
Ag,0.0061436696
Bi,0.004134005
Pb,0.0010216814
