feature,coefficient
Si,-9.962213550170144
Fe,-2.945510110378624
Cu,-28.515336600473642
Mn,-4.152788653917207
Mg,-9.521028765899205
Cr,-1.5989448245621178
Zn,-38.50966792697467
V,-0.2092139301081169
Ti,-2.3292842865596857
Zr,-1.2611868475144552
Li,-9.529673419228013
Ni,-3.5577062010307765
Be,-0.4035820068101155
Sc,-1.2283015972454219
Ag,-2.020297356642767
B,0.03516742025574475
Bi,-0.4501097109918938
Pb,-0.45010971099207814
Al,-45.584368838310226
<intercept>,12.46303225806468
