feature,coefficient
Si,-0.7584492765241425
Fe,0.0589463833857901
Cu,-0.2570070021009753
Mn,-0.5203257559820922
Mg,0.19379817440790503
Cr,-0.594356406148187
Zn,-0.14355185514008023
V,0.008317429358885239
Ti,-0.12931822062622197
Zr,-0.2011106825861505
Li,-1.4550925946414086
Ni,-0.7863473278734666
Be,-0.4008644306797326
Sc,-0.48639548857546194
Ag,-0.10139636310154392
B,0.0665200507122991
Bi,-0.06429555191172863
Pb,-0.06429555191173965
Al,-0.6515882461062185
<intercept>,12.463032258064516
