,model,cv_r2_mean,cv_r2_std,train_r2,train_mape,test_r2,test_mape,test_mae,test_rmse
Ridge,Ridge,0.026479220280476022,0.07498514471439847,0.09036696557175417,48.11273260220473,0.08088543218669297,55.155007152495116,4.034658786837133,5.33183095812912
LIN,LIN,0.020880464697674416,0.08172750978042134,0.09273086592519186,47.85061774620718,0.08084538358666304,54.81323661496808,4.020964373094781,5.331947118859749
Lasso,Lasso,-0.010600545578317489,0.0053804966680647505,0.006430600066695269,54.346724590346675,0.004301458018844739,60.6464908979239,4.304138381054909,5.549520790154951
