Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.050397,0.041429,1.481033,0.033023,2.586268,0.191346,7.083284,0.154085,0.013612,0.172174,0.000000,0.165900,0.000779,0.199847,0.643641,0.426616,0.307018,86.449550,460.973047,122.536609,25.839405,711.514667
0.050598,0.055490,1.486206,0.016650,2.587948,0.188082,7.189139,0.154100,0.051976,0.172932,0.000000,0.169620,0.000727,0.201672,0.523666,0.380777,0.261247,86.509169,461.005012,122.719429,26.282352,710.612706
0.050103,0.049492,1.487406,0.017265,2.587842,0.191429,7.232082,0.156674,0.013407,0.164756,0.000000,0.167094,0.000621,0.109453,0.531217,0.354604,0.276500,86.610056,460.995745,122.535395,23.976410,710.493552
0.050100,0.049847,1.477629,0.018099,3.083925,0.191025,7.242220,0.149379,0.014485,0.172389,0.000000,0.160726,0.000093,0.187227,0.528533,0.414882,0.223986,86.035457,460.807325,122.494395,25.696895,710.447726
0.050103,0.049483,1.486415,0.017275,2.992779,0.191426,7.193940,0.154395,0.013406,0.172134,0.000000,0.166888,0.000728,0.203817,0.462825,0.514598,0.262752,86.067036,460.994392,122.532394,25.875760,710.447708
0.050100,0.049337,1.499715,0.117805,2.588160,0.190312,7.205490,0.158000,0.006025,0.167713,0.000000,0.182639,0.000761,0.170846,0.537700,0.410557,0.354982,86.309857,461.084348,123.550638,25.664970,710.107214
0.051087,0.046472,1.485630,0.004407,2.587992,0.191538,7.161607,0.155968,0.013039,0.171961,0.000000,0.185854,0.001147,0.204889,0.514360,0.388937,0.237467,86.597645,468.055332,127.777556,25.895728,710.004469
0.051094,0.046742,1.488023,0.017009,2.789827,0.189400,7.178311,0.154729,0.001763,0.171419,0.000000,0.161646,0.000650,0.201195,0.498188,0.388618,0.267109,86.394277,461.097672,122.564234,25.923846,709.319590
0.050104,0.049425,1.488734,0.000000,2.587770,0.191524,7.181473,0.152595,0.142474,0.172069,0.000000,0.173181,0.000692,0.191820,0.541305,0.366327,0.238792,86.471714,461.040030,122.548605,26.630633,707.854005
0.049830,0.048360,1.476610,0.015321,2.593429,0.193734,7.308461,0.132763,0.138446,0.208381,0.000000,0.162433,0.000921,0.203150,0.511226,0.402903,0.269070,86.284961,463.044908,123.420011,27.205023,707.454655
