Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.00,0.05,2.54,0.00,2.59,0.00,8.09,0.11,0.10,0.16,1.22,0.48,0.00,0.23,0.30,0.02,0.08,84.04,460,123,5.50,686.44
0.00,0.00,2.54,0.00,2.59,0.00,7.81,0.12,0.10,0.16,1.20,0.82,0.00,0.22,0.40,0.06,0.04,83.93,462,123,5.00,686.11
0.00,0.05,2.54,0.00,2.59,0.00,8.10,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.30,0.03,0.08,84.01,460,123,5.00,686.09
0.00,0.05,2.54,0.00,2.59,0.00,8.10,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.35,0.03,0.08,83.97,460,123,5.00,686.09
0.00,0.05,2.54,0.00,2.59,0.00,8.10,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.30,0.00,0.08,84.03,460,123,5.50,686.09
0.00,0.05,2.54,0.00,2.59,0.00,8.10,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.30,0.04,0.08,84.00,460,123,5.50,686.09
0.00,0.05,2.54,0.00,2.59,0.00,8.09,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.19,0.04,0.07,84.13,460,123,5.50,686.09
0.00,0.05,2.54,0.00,2.59,0.00,8.10,0.11,0.10,0.16,1.22,0.49,0.00,0.23,0.30,0.04,0.08,84.00,460,123,5.50,686.09
0.00,0.00,2.54,0.00,2.59,0.00,8.14,0.10,0.10,0.17,1.20,0.63,0.00,0.23,0.29,0.08,0.10,83.83,460,123,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,8.09,0.11,0.10,0.16,1.20,0.70,0.00,0.23,0.30,0.07,0.10,83.80,463,123,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,8.08,0.11,0.10,0.16,1.20,0.70,0.00,0.23,0.27,0.07,0.09,83.86,463,123,5.00,685.92
0.00,0.00,2.50,0.00,2.59,0.00,8.06,0.11,0.10,0.16,1.20,0.71,0.00,0.23,0.30,0.05,0.09,83.90,460,125,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,7.92,0.11,0.10,0.16,1.20,0.70,0.00,0.23,0.29,0.07,0.08,84.00,460,123,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,8.18,0.12,0.10,0.16,1.20,0.58,0.00,0.23,0.36,0.05,0.01,83.89,463,123,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,8.12,0.11,0.10,0.16,1.20,0.76,0.00,0.23,0.30,0.06,0.11,83.72,462,123,5.00,685.92
0.00,0.00,2.55,0.00,2.59,0.00,8.04,0.11,0.10,0.16,1.20,0.72,0.00,0.23,0.30,0.00,0.10,83.90,460,123,5.00,685.92
0.00,0.00,2.54,0.00,2.59,0.00,8.04,0.11,0.10,0.16,1.20,0.73,0.00,0.23,0.29,0.00,0.09,83.91,460,123,5.00,685.92
0.00,0.00,2.53,0.00,2.59,0.00,8.21,0.11,0.10,0.16,1.20,0.76,0.00,0.23,0.40,0.07,0.08,83.56,460,123,5.00,685.92
0.00,0.00,2.55,0.00,2.59,0.00,8.04,0.11,0.10,0.16,1.20,0.72,0.00,0.23,0.29,0.01,0.01,83.99,460,123,5.00,685.92
0.00,0.00,2.60,0.00,2.59,0.00,8.18,0.10,0.10,0.17,1.20,0.67,0.00,0.23,0.30,0.03,0.12,83.71,462,123,5.00,685.92
0.00,0.00,2.52,0.00,2.59,0.00,8.09,0.11,0.10,0.16,1.20,0.71,0.00,0.23,0.30,0.07,0.10,83.81,463,123,5.00,685.26
0.00,0.03,2.54,0.00,2.59,0.01,7.88,0.12,0.10,0.16,1.22,0.48,0.00,0.21,0.30,0.02,0.08,84.28,460,123,5.50,685.15
0.00,0.00,2.54,0.00,2.59,0.00,8.11,0.11,0.10,0.16,1.20,0.68,0.00,0.23,0.29,0.07,0.10,83.81,462,123,5.00,684.45
0.00,0.01,2.54,0.00,2.59,0.01,8.02,0.11,0.37,0.15,1.20,0.43,0.00,0.24,0.38,0.04,0.06,83.84,463,152,5.00,684.13
0.00,0.05,2.54,0.00,2.59,0.00,8.41,0.11,0.10,0.17,1.20,0.51,0.00,0.23,0.30,0.04,0.08,83.68,460,124,5.50,683.58
0.00,0.00,2.58,0.00,2.66,0.00,8.28,0.11,0.10,0.17,1.18,0.66,0.00,0.22,0.31,0.00,0.12,83.61,461,123,5.00,682.69
0.00,0.00,2.54,0.00,2.59,0.00,8.12,0.11,0.08,0.16,1.20,0.75,0.00,0.25,0.30,0.04,0.05,83.81,460,123,5.00,682.48
0.00,0.00,2.58,0.00,2.59,0.00,8.17,0.10,0.06,0.17,1.20,0.66,0.00,0.25,0.26,0.03,0.12,83.82,458,123,5.00,682.16
0.00,0.00,2.52,0.00,2.57,0.00,8.31,0.10,0.10,0.17,0.94,0.67,0.00,0.23,0.19,0.11,0.07,83.99,454,125,5.00,681.83
0.00,0.00,2.54,0.00,2.59,0.03,8.12,0.11,0.00,0.16,1.22,0.49,0.00,0.23,0.30,0.00,0.08,84.13,451,123,6.00,681.77
0.00,0.04,2.54,0.00,2.59,0.00,8.12,0.11,0.10,0.19,1.21,0.54,0.00,0.23,0.32,0.10,0.13,83.78,460,123,5.00,681.65
0.00,0.00,2.54,0.00,2.59,0.00,7.54,0.11,0.00,0.17,1.20,0.50,0.00,0.19,0.32,0.04,0.08,84.71,461,123,5.50,681.64
0.00,0.00,2.54,0.00,2.77,0.01,7.92,0.11,0.06,0.16,1.20,0.69,0.00,0.23,0.20,0.07,0.09,83.96,460,124,5.00,681.44
0.00,0.01,2.53,0.01,2.60,0.01,8.12,0.10,0.10,0.19,1.20,0.64,0.00,0.17,0.35,0.03,0.07,83.88,462,123,5.00,681.22
0.00,0.03,2.54,0.00,2.59,0.00,7.56,0.11,0.10,0.29,1.21,0.30,0.00,0.20,0.30,0.00,0.08,84.69,463,123,5.50,680.93
0.00,0.01,2.54,0.00,2.59,0.06,7.87,0.11,0.09,0.16,1.20,0.39,0.00,0.23,0.30,0.00,0.09,84.35,460,123,8.00,680.80
0.00,0.04,2.53,0.00,2.59,0.00,7.82,0.11,0.34,0.17,1.27,0.43,0.00,0.23,0.34,0.09,0.09,83.93,460,128,5.50,680.78
