Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.01,0.05,2.55,0.02,2.59,0.19,7.32,0.13,0.01,0.17,0.00,0.89,0.00,0.23,0.52,0.23,0.31,84.79,467,107,28.4,705.19
0.01,0.04,2.53,0.03,2.93,0.19,7.50,0.15,0.04,0.17,0.00,0.45,0.00,0.23,0.54,0.20,0.18,84.82,457,123,28.5,705.10
0.00,0.04,2.55,0.04,2.59,0.19,7.57,0.13,0.01,0.17,0.00,0.75,0.00,0.22,0.54,0.19,0.26,84.77,462,107,26.2,704.91
0.01,0.01,2.49,0.02,2.68,0.19,7.45,0.10,0.08,0.16,0.00,0.08,0.00,0.22,0.52,0.21,0.26,85.51,463,107,29.5,704.30
0.01,0.05,1.93,0.04,2.59,0.18,8.07,0.13,0.01,0.17,0.00,0.64,0.00,0.23,0.61,0.20,0.32,84.81,452,109,27.9,704.23
0.01,0.00,2.53,0.02,2.79,0.19,7.80,0.13,0.00,0.17,0.00,0.64,0.00,0.22,0.63,0.20,0.27,84.39,449,107,27.8,704.14
0.01,0.02,2.52,0.04,2.64,0.19,7.59,0.12,0.05,0.17,0.00,0.23,0.00,0.21,0.53,0.20,0.24,85.23,465,107,30.5,704.12
0.01,0.05,1.50,0.02,2.59,0.19,7.39,0.12,0.00,0.17,0.00,0.66,0.00,0.23,0.58,0.20,0.35,85.95,455,104,30.8,703.99
0.01,0.04,1.79,0.01,2.59,0.19,7.65,0.11,0.01,0.17,0.00,0.75,0.00,0.26,0.56,0.29,0.28,85.27,461,107,32.4,703.93
0.01,0.04,2.49,0.02,2.59,0.19,7.65,0.11,0.00,0.17,0.00,0.73,0.00,0.27,0.54,0.31,0.28,84.61,462,107,35.2,703.74
0.00,0.01,2.53,0.01,2.59,0.19,7.22,0.12,0.01,0.15,0.00,0.59,0.00,0.20,0.55,0.26,0.21,85.36,462,107,28.5,703.54
0.01,0.04,1.79,0.02,2.61,0.19,7.67,0.12,0.01,0.19,0.00,0.84,0.00,0.23,0.56,0.27,0.28,85.18,462,107,26.0,703.15
0.00,0.05,2.22,0.02,2.59,0.19,7.50,0.11,0.00,0.17,0.00,0.64,0.00,0.20,0.53,0.24,0.28,85.27,463,107,26.7,702.29
0.00,0.00,2.51,0.02,2.52,0.19,7.53,0.13,0.01,0.18,0.00,0.18,0.00,0.23,0.56,0.20,0.26,85.49,469,107,28.4,702.12
0.01,0.10,2.56,0.02,2.59,0.19,7.67,0.11,0.01,0.17,0.00,0.61,0.00,0.22,0.58,0.14,0.32,84.69,465,107,28.1,701.89
0.01,0.04,1.39,0.01,2.62,0.19,7.45,0.11,0.03,0.16,0.00,0.66,0.00,0.22,0.55,0.20,0.26,86.09,468,108,29.7,701.83
