Aging_time_h,Predicted_UTS_MPa
0.0,565.1517
0.1,576.9011
0.2,576.5305
0.30000000000000004,583.3948
0.4,583.3948
0.5,586.21246
0.6000000000000001,586.21246
0.7000000000000001,586.21246
0.8,586.21246
0.9,586.21246
1.0,595.1138
1.1,595.1138
1.2000000000000002,595.1138
1.3,595.1138
1.4000000000000001,595.1138
1.5,602.49164
1.6,602.49164
1.7000000000000002,602.49164
1.8,602.49164
1.9000000000000001,602.49164
2.0,602.14764
2.1,602.14764
2.2,602.14764
2.3000000000000003,602.14764
2.4000000000000004,602.14764
2.5,601.2948
2.6,601.2948
2.7,601.2948
2.8000000000000003,601.2948
2.9000000000000004,601.2948
3.0,601.34985
3.1,601.34985
3.2,601.34985
3.3000000000000003,601.34985
3.4000000000000004,601.34985
3.5,601.34985
3.6,601.34985
3.7,601.34985
3.8000000000000003,601.34985
3.9000000000000004,601.34985
4.0,600.9971
4.1000000000000005,600.9971
4.2,600.9971
4.3,600.9971
4.4,600.9971
4.5,600.9971
4.6000000000000005,600.9971
4.7,600.9971
4.800000000000001,600.9971
4.9,600.9971
5.0,603.56177
5.1000000000000005,603.56177
5.2,603.56177
5.300000000000001,603.56177
5.4,603.56177
5.5,603.56177
5.6000000000000005,603.56177
5.7,603.56177
5.800000000000001,603.56177
5.9,603.56177
6.0,601.0336
6.1000000000000005,601.0336
6.2,601.0336
6.300000000000001,601.0336
6.4,601.0336
6.5,601.0336
6.6000000000000005,601.0336
6.7,601.0336
6.800000000000001,601.0336
6.9,601.0336
7.0,601.488
7.1000000000000005,601.488
7.2,601.488
7.300000000000001,601.488
7.4,601.488
7.5,601.488
7.6000000000000005,601.488
7.7,601.488
7.800000000000001,601.488
7.9,601.488
8.0,596.10565
8.1,596.10565
8.200000000000001,596.10565
8.3,596.10565
8.4,596.10565
8.5,595.05817
8.6,595.05817
8.700000000000001,595.05817
8.8,595.05817
8.9,595.05817
9.0,594.8995
9.1,594.8995
9.200000000000001,594.8995
9.3,594.8995
9.4,594.8995
9.5,594.8995
9.600000000000001,594.8995
9.700000000000001,594.8995
9.8,594.8995
9.9,594.8995
10.0,590.29584
10.100000000000001,590.29584
10.200000000000001,590.29584
10.3,590.29584
10.4,590.29584
10.5,590.29584
10.600000000000001,590.29584
10.700000000000001,590.29584
10.8,590.29584
10.9,590.29584
11.0,586.6616
11.100000000000001,586.6616
11.200000000000001,586.6616
11.3,586.6616
11.4,586.6616
11.5,586.6616
11.600000000000001,586.6616
11.700000000000001,586.6616
11.8,586.6616
11.9,586.6616
12.0,592.91425
12.100000000000001,592.91425
12.200000000000001,592.91425
12.3,592.91425
12.4,592.91425
12.5,586.42786
12.600000000000001,586.42786
12.700000000000001,586.42786
12.8,586.42786
12.9,586.42786
13.0,586.98
13.100000000000001,586.98
13.200000000000001,586.98
13.3,586.98
13.4,586.98
13.5,586.98
13.600000000000001,586.98
13.700000000000001,586.98
13.8,586.98
13.9,586.98
14.0,587.477
14.100000000000001,587.477
14.200000000000001,587.477
14.3,587.477
14.4,587.477
14.5,587.477
14.600000000000001,587.477
14.700000000000001,587.477
14.8,587.477
14.9,587.477
15.0,582.7033
15.100000000000001,582.7033
15.200000000000001,582.7033
15.3,582.7033
15.4,582.7033
15.5,582.7033
15.600000000000001,582.7033
15.700000000000001,582.7033
15.8,582.7033
15.9,582.7033
16.0,586.0466
16.1,586.0466
16.2,586.0466
16.3,586.0466
16.400000000000002,586.0466
16.5,586.0466
16.6,586.0466
16.7,586.0466
16.8,586.0466
16.900000000000002,586.0466
17.0,586.0466
17.1,586.0466
17.2,586.0466
17.3,586.0466
17.400000000000002,586.0466
17.5,586.0466
17.6,586.0466
17.7,586.0466
17.8,586.0466
17.900000000000002,586.0466
18.0,587.668
18.1,587.668
18.2,587.668
18.3,587.668
18.400000000000002,587.668
18.5,587.668
18.6,587.668
18.7,587.668
18.8,587.668
18.900000000000002,587.668
19.0,587.668
19.1,587.668
19.200000000000003,587.668
19.3,587.668
19.400000000000002,587.668
19.5,587.668
19.6,587.668
19.700000000000003,587.668
19.8,587.668
19.900000000000002,587.668
20.0,591.42255
20.1,591.42255
20.200000000000003,591.42255
20.3,591.42255
20.400000000000002,591.42255
20.5,591.42255
20.6,591.42255
20.700000000000003,591.42255
20.8,591.42255
20.900000000000002,591.42255
21.0,591.42255
21.1,591.42255
21.200000000000003,591.42255
21.3,591.42255
21.400000000000002,591.42255
21.5,591.42255
21.6,591.42255
21.700000000000003,591.42255
21.8,591.42255
21.900000000000002,591.42255
22.0,591.0045
22.1,591.0045
22.200000000000003,591.0045
22.3,591.0045
22.400000000000002,591.0045
22.5,591.0045
22.6,591.0045
22.700000000000003,591.0045
22.8,591.0045
22.900000000000002,591.0045
23.0,591.0045
23.1,591.0045
23.200000000000003,591.0045
23.3,591.0045
23.400000000000002,591.0045
23.5,591.0045
23.6,591.0045
23.700000000000003,591.0045
23.8,591.0045
23.900000000000002,591.0045
24.0,591.8691
24.1,591.8691
24.200000000000003,591.8691
24.3,591.8691
24.400000000000002,591.8691
24.5,591.8691
24.6,591.8691
24.700000000000003,591.8691
24.8,591.8691
24.900000000000002,591.8691
25.0,590.8316
25.1,590.8316
25.200000000000003,590.8316
25.3,590.8316
25.400000000000002,590.8316
25.5,590.8316
25.6,590.8316
25.700000000000003,590.8316
25.8,590.8316
25.900000000000002,590.8316
26.0,589.039
26.1,589.039
26.200000000000003,589.039
26.3,589.039
26.400000000000002,589.039
26.5,589.039
26.6,589.039
26.700000000000003,589.039
26.8,589.039
26.900000000000002,589.039
27.0,589.039
27.1,589.039
27.200000000000003,589.039
27.3,589.039
27.400000000000002,589.039
27.5,589.039
27.6,589.039
27.700000000000003,589.039
27.8,589.039
27.900000000000002,589.039
28.0,589.35565
28.1,589.35565
28.200000000000003,589.35565
28.3,589.35565
28.400000000000002,589.35565
28.5,589.35565
28.6,589.35565
28.700000000000003,589.35565
28.8,589.35565
28.900000000000002,589.35565
29.0,589.35565
29.1,589.35565
29.200000000000003,589.35565
29.3,589.35565
29.400000000000002,589.35565
29.5,589.35565
29.6,589.35565
29.700000000000003,589.35565
29.8,589.35565
29.900000000000002,589.35565
30.0,587.1105
30.1,587.1105
30.200000000000003,587.1105
30.3,587.1105
30.400000000000002,587.1105
30.5,587.1105
30.6,587.1105
30.700000000000003,587.1105
30.8,587.1105
30.900000000000002,587.1105
31.0,587.1105
31.1,587.1105
31.200000000000003,587.1105
31.3,587.1105
31.400000000000002,587.1105
31.5,587.1105
31.6,587.1105
31.700000000000003,587.1105
31.8,587.1105
31.900000000000002,587.1105
32.0,585.1923
32.1,585.1923
32.2,585.1923
32.300000000000004,585.1923
32.4,585.1923
32.5,585.1923
32.6,585.1923
32.7,585.1923
32.800000000000004,585.1923
32.9,585.1923
33.0,585.1923
33.1,585.1923
33.2,585.1923
33.300000000000004,585.1923
33.4,585.1923
33.5,585.1923
33.6,585.1923
33.7,585.1923
33.800000000000004,585.1923
33.9,585.1923
34.0,585.1923
34.1,585.1923
34.2,585.1923
34.300000000000004,585.1923
34.4,585.1923
34.5,585.1923
34.6,585.1923
34.7,585.1923
34.800000000000004,585.1923
34.9,585.1923
35.0,585.1923
35.1,585.1923
35.2,585.1923
35.300000000000004,585.1923
35.4,585.1923
35.5,585.1923
35.6,585.1923
35.7,585.1923
35.800000000000004,585.1923
35.9,585.1923
36.0,576.24854
36.1,576.24854
36.2,576.24854
36.300000000000004,576.24854
36.4,576.24854
36.5,576.24854
36.6,576.24854
36.7,576.24854
36.800000000000004,576.24854
36.9,576.24854
37.0,576.24854
37.1,576.24854
37.2,576.24854
37.300000000000004,576.24854
37.4,576.24854
37.5,576.24854
37.6,576.24854
37.7,576.24854
37.800000000000004,576.24854
37.9,576.24854
38.0,576.24854
38.1,576.24854
38.2,576.24854
38.300000000000004,576.24854
38.400000000000006,576.24854
38.5,576.24854
38.6,576.24854
38.7,576.24854
38.800000000000004,576.24854
