feature,importance
Li,0.12582958
Ageing Time,0.095566966
SS Temp,0.08981724
Ageing Temp,0.0767175
Si,0.06980551
Ni,0.06834387
Fe,0.061410267
Al,0.057004545
Cr,0.05232121
Mn,0.051446836
Zn,0.0514405
Ti,0.04790491
Zr,0.047018316
Mg,0.037629034
Cu,0.032308828
V,0.019683525
Sc,0.012255567
Be,0.003495894
Pb,0.0
Ag,0.0
Bi,0.0
