feature,coefficient
Si,-35.39335657531072
Fe,-13.392746958283567
Cu,-54.049351891702344
Mn,-0.26850276657394967
Mg,-6.668962906980642
Cr,-16.799573162581108
Zn,-87.66763303911105
V,-11.548606706521586
Ti,-5.641137099798229
Zr,13.64253568038644
Li,-12.242514639682994
Ni,-13.825340838291595
Be,5.007402090186538
Sc,8.390197751959148
Ag,-12.209429126190708
Al,-179.45056831261962
<intercept>,395.1272499999997
