,model,cv_r2_mean,cv_r2_std,train_r2,train_mape,test_r2,test_mape,test_mae,test_rmse
LIN,LIN,0.6071356640339559,0.02318022384446112,0.6426929644186354,18.37980926276731,0.6473249492781014,18.647875698818815,57.35368987093062,77.63418835500923
Ridge,Ridge,0.6078251183837524,0.023138611977282873,0.642382989499773,18.376035931922285,0.6463732928539883,18.6830453434734,57.456057009825706,77.73886162433642
Lasso,Lasso,0.6093952365165439,0.02536118301496851,0.6417222043543527,18.51196623865003,0.6435369886307696,18.85295844121969,57.93670661872568,78.0499957987569
