feature,coefficient
Si,-10.889242658179402
Fe,-5.901363773019732
Cu,7.9133383015312
Mn,7.042438923329428
Mg,14.295582103597145
Cr,-13.790764939420233
Zn,0.0
V,-9.714204876533355
Ti,-0.9269203538549349
Zr,14.950096734918816
Li,5.01459618091484
Ni,-6.6766592938509035
Be,3.9759190244208598
Sc,9.319205836974799
Ag,-6.678687369998556
Al,-76.5705448223514
<intercept>,395.1272499999999
