feature,importance
Ageing Time,0.301532208643718
Li,0.15193666190510577
Al,0.14097866053446445
Ageing Temp,0.09970145340601505
Zn,0.058067799127904975
SS Temp,0.051146496081225006
Mg,0.04788391641227683
Cu,0.03145068919113093
Cr,0.029314393464595512
Ni,0.020263463671959858
Fe,0.016808987903854253
Zr,0.016669142065256916
Ti,0.016332738681941763
Mn,0.012697250777711352
Si,0.005216138132839349
Be,0.0
V,0.0
Pb,0.0
Bi,0.0
Ag,0.0
Sc,0.0
