Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred,Target_UTS,AbsError
0.000000,0.000000,7.008134,0.000000,1.360204,0.000000,2.326706,0.000000,0.052589,0.138469,0.000000,0.000000,0.000000,0.051897,0.000000,0.000000,0.000000,89.062000,521.733714,322.050763,8.069364,400.000183,400.000000,0.000183
0.000000,0.000000,6.454856,0.000000,1.360179,0.000000,2.876959,0.000000,0.052589,0.138471,0.000000,0.000000,0.000000,0.070368,0.000000,0.000000,0.000000,89.046577,521.666984,301.972666,8.069368,400.000183,400.000000,0.000183
0.000000,0.000000,7.079606,0.000000,1.358936,0.000000,2.278588,0.000000,0.053834,0.137574,0.000000,0.000000,0.000000,0.054753,0.000000,0.000000,0.000000,89.036709,520.928426,323.206637,8.086332,400.000183,400.000000,0.000183
0.000000,0.000000,7.341770,0.000000,1.003306,0.000000,1.891128,0.000000,0.048340,0.138798,0.000000,0.000000,0.000000,0.073423,0.000000,0.000000,0.000000,89.503235,520.425742,333.963964,4.598593,399.998047,400.000000,0.001953
0.000000,0.000000,7.565224,0.000000,1.795000,0.000000,2.201765,0.000000,0.052984,0.134466,0.000000,0.000000,0.000000,0.118231,0.000000,0.000000,0.000000,88.132328,523.842422,335.686277,8.076573,400.002258,400.000000,0.002258
0.000000,0.000000,7.565224,0.000000,1.795000,0.000000,2.201765,0.000000,0.052984,0.134466,0.000000,0.000000,0.000000,0.118231,0.000000,0.000000,0.000000,88.132328,521.657522,335.686277,8.076573,400.002258,400.000000,0.002258
0.000000,0.000000,7.553058,0.000000,1.793519,0.000000,2.213733,0.000000,0.052983,0.134548,0.000000,0.000000,0.000000,0.118128,0.000000,0.000000,0.000000,88.134031,521.679431,335.400134,8.078267,400.002258,400.000000,0.002258
0.000000,0.000000,7.566396,0.000000,1.798782,0.000000,2.205678,0.000000,0.052987,0.134500,0.000000,0.000000,0.000000,0.118708,0.000000,0.000000,0.000000,88.122949,521.679582,335.806102,8.078375,400.002258,400.000000,0.002258
0.000000,0.000000,7.567760,0.000000,1.803186,0.000000,2.210234,0.000000,0.052991,0.134540,0.000000,0.000000,0.000000,0.119264,0.000000,0.000000,0.000000,88.112025,521.705274,335.945654,8.080473,400.002258,400.000000,0.002258
0.000000,0.000000,7.567760,0.000000,1.803186,0.000000,2.210234,0.000000,0.052991,0.134540,0.000000,0.000000,0.000000,0.119264,0.000000,0.000000,0.000000,88.112025,521.705274,335.945654,8.080473,400.002258,400.000000,0.002258
