Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.00,0.05,2.50,0.00,2.87,0.00,7.82,0.16,0.16,0.17,1.19,0.63,0.00,0.22,0.33,0.26,0.00,83.64,461,129,5.00,682.98
0.00,0.05,2.49,0.00,2.66,0.00,7.83,0.12,0.56,0.16,1.18,0.56,0.00,0.23,0.32,0.20,0.00,83.62,447,129,5.00,682.73
0.00,0.05,2.50,0.02,2.58,0.00,7.82,0.15,0.29,0.16,1.19,0.62,0.00,0.22,0.34,0.26,0.00,83.81,461,129,5.00,682.73
0.00,0.03,2.44,0.00,2.58,0.00,7.80,0.14,0.37,0.16,1.24,0.55,0.00,0.21,0.32,0.30,0.00,83.86,461,126,5.00,682.27
0.00,0.04,2.34,0.00,2.58,0.00,7.81,0.16,0.33,0.16,1.21,0.59,0.00,0.25,0.32,0.27,0.00,83.93,461,128,5.00,681.87
0.00,0.06,2.50,0.00,2.58,0.00,7.77,0.15,0.24,0.16,1.19,0.64,0.00,0.22,0.33,0.27,0.00,83.88,460,130,5.00,681.56
0.00,0.05,2.49,0.00,2.58,0.00,7.44,0.12,0.29,0.16,1.24,0.71,0.00,0.22,0.28,0.27,0.00,84.14,461,126,5.00,681.50
0.00,0.07,2.49,0.00,2.58,0.00,7.82,0.14,0.42,0.16,1.19,0.61,0.00,0.22,0.34,0.25,0.00,83.70,461,149,5.00,681.41
0.00,0.03,2.49,0.05,2.59,0.00,7.92,0.15,0.25,0.16,1.02,0.70,0.00,0.22,0.33,0.25,0.00,83.84,460,129,5.00,680.58
0.00,0.02,2.49,0.00,2.58,0.01,7.82,0.14,0.36,0.17,1.19,0.59,0.00,0.20,0.23,0.22,0.00,83.98,460,135,5.00,679.95
0.00,0.04,2.47,0.00,2.58,0.00,7.81,0.14,0.34,0.16,1.22,0.58,0.00,0.21,0.32,0.38,0.02,83.73,473,127,5.00,679.87
0.00,0.03,2.44,0.13,2.58,0.00,7.80,0.10,0.37,0.16,1.24,0.55,0.00,0.21,0.32,0.30,0.03,83.73,465,126,5.00,679.67
0.00,0.03,2.49,0.02,2.72,0.03,7.33,0.13,0.42,0.16,1.19,0.59,0.00,0.21,0.33,0.24,0.00,84.12,461,129,5.00,679.37
0.00,0.00,2.50,0.00,2.58,0.01,7.82,0.15,0.25,0.17,1.19,0.61,0.00,0.23,0.22,0.24,0.00,84.01,442,136,5.00,679.30
0.00,0.05,2.43,0.00,2.58,0.00,7.52,0.13,0.40,0.16,1.25,0.60,0.00,0.22,0.31,0.22,0.00,84.12,447,127,5.00,678.76
