Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.05,0.05,2.46,0.10,2.60,0.10,7.88,0.14,0.01,0.15,0.36,0.33,0.00,0.22,0.27,0.24,0.16,84.88,460,122,5.18,687.69
0.05,0.05,2.45,0.08,2.60,0.09,8.60,0.14,0.00,0.16,0.07,0.40,0.00,0.22,0.07,0.29,0.14,84.59,461,124,5.18,687.69
0.05,0.05,2.53,0.01,2.60,0.10,7.69,0.15,0.22,0.16,0.27,0.27,0.00,0.23,0.23,0.29,0.09,85.05,460,126,5.17,687.54
0.05,0.05,2.45,0.01,2.57,0.10,7.69,0.14,0.00,0.16,0.07,0.45,0.00,0.22,0.13,0.28,0.12,85.50,461,126,5.15,687.42
0.05,0.05,2.44,0.01,2.60,0.08,8.09,0.14,0.04,0.16,0.18,0.47,0.00,0.22,0.08,0.27,0.10,85.01,461,124,5.17,687.10
0.05,0.05,2.57,0.01,2.61,0.10,7.76,0.15,0.01,0.15,0.37,0.45,0.00,0.21,0.37,0.29,0.15,84.72,460,122,5.96,687.09
0.04,0.04,2.53,0.00,2.60,0.10,7.78,0.15,0.00,0.16,0.25,0.37,0.00,0.23,0.28,0.30,0.09,85.08,460,126,5.38,686.52
0.05,0.05,1.66,0.01,2.60,0.10,7.71,0.14,0.00,0.16,0.31,0.25,0.00,0.23,0.19,0.30,0.11,86.15,460,126,5.18,686.50
0.05,0.05,1.83,0.01,2.59,0.10,7.52,0.15,0.00,0.16,0.25,0.33,0.00,0.22,0.19,0.31,0.14,86.09,460,124,5.65,686.06
0.05,0.05,3.02,0.01,2.60,0.10,7.70,0.14,0.00,0.16,0.44,0.15,0.00,0.22,0.19,0.38,0.13,84.66,462,125,5.18,685.64
0.05,0.00,2.58,0.01,3.10,0.10,7.69,0.13,0.00,0.16,0.00,0.25,0.00,0.23,0.26,0.29,0.21,84.94,460,126,5.17,685.35
0.05,0.05,2.45,0.00,2.60,0.08,7.68,0.14,0.02,0.16,0.34,0.31,0.00,0.24,0.10,0.26,0.11,85.41,460,127,6.28,684.88
0.01,0.05,2.45,0.09,2.60,0.10,7.70,0.14,0.00,0.16,0.17,0.36,0.00,0.22,0.11,0.31,0.11,85.43,443,121,5.98,684.80
0.05,0.05,2.47,0.01,2.60,0.11,7.68,0.14,0.00,0.18,0.33,0.30,0.00,0.23,0.24,0.29,0.08,85.23,460,129,5.18,684.68
0.05,0.05,2.46,0.00,2.67,0.10,7.71,0.14,0.00,0.16,0.48,0.39,0.00,0.22,0.14,0.30,0.09,85.03,451,124,6.19,684.64
0.00,0.01,2.58,0.00,2.60,0.10,7.69,0.15,0.00,0.16,0.29,0.25,0.00,0.23,0.26,0.29,0.12,85.26,460,126,5.17,684.35
0.05,0.00,2.44,0.01,2.60,0.10,7.70,0.14,0.00,0.20,0.16,0.46,0.00,0.24,0.07,0.27,0.10,85.46,461,124,5.17,684.20
0.00,0.05,2.46,0.01,2.60,0.09,8.49,0.14,0.00,0.15,0.42,0.40,0.00,0.22,0.20,0.18,0.13,84.46,462,125,5.18,684.14
0.05,0.05,2.80,0.01,2.60,0.10,7.13,0.15,0.00,0.16,0.30,0.25,0.00,0.23,0.23,0.25,0.06,85.63,460,126,5.18,684.14
0.00,0.00,2.45,0.01,2.60,0.10,7.97,0.14,0.00,0.16,0.13,0.42,0.00,0.23,0.06,0.33,0.06,85.34,461,125,5.32,683.55
0.05,0.05,2.47,0.16,2.60,0.10,7.12,0.14,0.00,0.17,0.00,0.21,0.00,0.16,0.23,0.28,0.12,86.14,458,126,5.48,683.46
0.05,0.05,2.56,0.05,2.60,0.10,7.69,0.12,0.00,0.22,0.21,0.31,0.00,0.22,0.19,0.30,0.13,85.19,460,127,5.18,683.46
0.05,0.03,2.41,0.00,2.60,0.10,7.70,0.14,0.08,0.16,0.35,0.32,0.00,0.22,0.21,0.22,0.11,85.30,453,126,5.20,683.01
0.05,0.04,2.62,0.01,2.60,0.10,7.01,0.14,0.00,0.16,0.00,0.24,0.00,0.23,0.24,0.24,0.12,86.19,458,128,5.18,682.99
0.05,0.05,2.56,0.01,2.60,0.10,8.60,0.14,0.00,0.16,0.21,0.31,0.00,0.29,0.23,0.30,0.13,84.26,461,127,5.18,682.56
0.00,0.05,2.44,0.00,2.88,0.10,7.71,0.14,0.00,0.16,0.23,0.33,0.00,0.22,0.15,0.30,0.13,85.15,455,124,5.11,682.32
0.05,0.04,2.41,0.05,2.62,0.10,8.01,0.13,0.07,0.16,0.41,0.32,0.00,0.19,0.16,0.27,0.13,84.89,452,125,5.19,681.89
0.04,0.05,2.46,0.01,2.66,0.09,8.04,0.14,0.16,0.15,0.47,0.51,0.00,0.15,0.22,0.17,0.15,84.52,458,124,5.11,681.40
0.00,0.05,2.56,0.24,2.60,0.10,7.68,0.14,0.00,0.16,0.21,0.31,0.00,0.19,0.19,0.30,0.13,85.14,461,127,5.18,681.37
0.00,0.05,2.46,0.02,2.60,0.09,7.71,0.14,0.00,0.18,0.56,0.16,0.00,0.22,0.17,0.27,0.18,85.18,443,125,5.18,681.35
0.05,0.05,2.48,0.01,2.61,0.09,7.67,0.14,0.03,0.16,0.49,0.35,0.00,0.22,0.17,0.29,0.14,85.06,462,136,5.95,681.34
0.05,0.05,2.45,0.01,2.60,0.10,8.60,0.16,0.00,0.13,0.02,0.20,0.00,0.18,0.13,0.27,0.08,84.97,460,127,5.18,681.30
0.05,0.00,2.46,0.01,2.60,0.10,7.06,0.14,0.01,0.15,0.32,0.35,0.00,0.22,0.27,0.27,0.16,85.82,474,123,5.18,681.11
0.04,0.05,2.46,0.06,2.60,0.11,7.69,0.14,0.23,0.15,0.25,0.38,0.00,0.22,0.08,0.27,0.11,85.16,460,123,5.21,681.05
0.02,0.05,2.38,0.01,2.67,0.10,8.27,0.14,0.00,0.16,0.36,0.25,0.00,0.21,0.21,0.30,0.23,84.64,461,151,5.19,680.98
0.05,0.04,2.45,0.01,3.06,0.07,7.71,0.15,0.00,0.20,0.29,0.30,0.00,0.22,0.18,0.31,0.12,84.82,460,127,5.24,680.59
0.05,0.05,2.46,0.01,2.60,0.09,7.68,0.14,0.01,0.15,0.96,0.32,0.00,0.20,0.27,0.29,0.15,84.56,460,123,4.12,680.47
0.05,0.05,3.06,0.00,2.60,0.11,7.71,0.14,0.02,0.15,0.35,0.44,0.00,0.23,0.28,0.28,0.18,84.34,460,124,5.25,680.29
0.05,0.05,2.38,0.01,2.60,0.05,7.09,0.14,0.00,0.16,0.00,0.05,0.00,0.22,0.04,0.31,0.07,86.78,463,124,6.49,680.17
0.05,0.05,1.37,0.26,2.60,0.10,7.69,0.15,0.00,0.16,0.31,0.27,0.00,0.23,0.27,0.32,0.13,86.04,460,125,5.17,679.87
0.05,0.05,1.72,0.01,2.60,0.10,7.70,0.14,0.32,0.21,0.51,0.00,0.00,0.23,0.19,0.29,0.09,85.80,462,125,5.18,679.83
0.02,0.05,2.45,0.04,2.60,0.10,7.69,0.14,0.00,0.16,0.16,0.38,0.00,0.22,0.02,0.26,0.12,85.59,471,124,5.25,679.73
0.05,0.05,2.46,0.01,2.77,0.09,7.68,0.14,0.01,0.15,0.33,0.31,0.00,0.22,0.27,0.29,0.15,84.98,466,123,5.20,679.63
0.05,0.05,1.59,0.02,2.73,0.10,7.72,0.15,0.00,0.16,0.26,0.30,0.00,0.23,0.21,0.30,0.13,86.00,461,125,5.45,679.35
0.04,0.05,2.42,0.12,2.78,0.02,7.71,0.14,0.00,0.16,0.20,0.37,0.00,0.23,0.24,0.31,0.12,85.09,453,125,5.35,678.92
0.02,0.05,2.36,0.00,2.73,0.19,8.37,0.14,0.00,0.16,0.39,0.26,0.00,0.23,0.20,0.30,0.20,84.41,462,124,5.20,678.56
0.00,0.01,2.45,0.01,2.60,0.12,7.95,0.14,0.00,0.16,0.13,0.41,0.00,0.23,0.11,0.33,0.06,85.27,461,127,5.31,678.51
0.05,0.05,2.09,0.01,2.94,0.19,7.85,0.14,0.00,0.16,0.12,0.57,0.00,0.23,0.27,0.24,0.17,84.93,461,126,8.23,678.41
0.05,0.01,2.45,0.01,2.60,0.11,7.87,0.14,0.00,0.16,0.22,0.11,0.00,0.15,0.22,0.16,0.07,85.67,444,125,5.18,678.38
0.05,0.02,2.47,0.02,2.60,0.10,7.73,0.16,0.00,0.16,0.34,0.33,0.00,0.21,0.13,0.33,0.12,85.21,461,126,4.99,678.10
0.01,0.05,2.41,0.13,2.60,0.09,7.60,0.15,0.20,0.16,0.19,0.35,0.00,0.13,0.11,0.31,0.13,85.40,470,124,6.14,678.01
0.04,0.05,2.48,0.02,2.60,0.10,7.26,0.14,0.00,0.16,1.12,0.34,0.00,0.22,0.07,0.24,0.10,85.07,461,125,4.80,677.83
0.05,0.05,2.48,0.01,2.47,0.10,7.68,0.14,0.00,0.18,0.17,0.31,0.00,0.20,0.27,0.29,0.16,85.44,460,123,5.18,677.43
0.05,0.05,2.45,0.01,2.44,0.10,7.68,0.14,0.00,0.18,0.33,0.25,0.00,0.13,0.24,0.29,0.12,85.54,460,129,5.55,677.35
0.05,0.05,2.44,0.04,2.60,0.10,7.76,0.14,0.02,0.19,0.32,0.26,0.00,0.22,0.20,0.29,0.12,85.20,457,126,5.30,677.30
0.05,0.05,2.46,0.01,2.60,0.09,7.70,0.14,0.00,0.16,0.32,0.26,0.00,0.24,0.23,0.24,0.12,85.32,455,125,3.97,677.28
0.04,0.03,2.44,0.01,2.63,0.19,7.93,0.14,0.12,0.16,0.66,0.18,0.00,0.23,0.27,0.27,0.12,84.58,461,125,6.13,677.27
0.05,0.00,2.92,0.00,2.60,0.10,7.69,0.14,0.00,0.20,0.67,0.29,0.00,0.22,0.24,0.24,0.15,84.47,461,124,5.18,677.04
0.05,0.00,2.65,0.00,2.60,0.00,7.68,0.14,0.00,0.16,0.30,0.22,0.00,0.23,0.21,0.25,0.18,85.32,460,126,5.17,676.84
0.05,0.01,2.51,0.07,2.57,0.10,6.88,0.12,0.08,0.16,0.46,0.19,0.00,0.21,0.18,0.28,0.11,86.03,456,127,5.23,676.81
0.05,0.05,2.45,0.01,2.60,0.05,8.60,0.14,0.00,0.16,0.31,0.25,0.00,0.32,0.24,0.23,0.11,84.42,460,136,5.18,676.68
0.05,0.05,2.45,0.01,2.60,0.10,7.85,0.14,0.09,0.15,0.40,0.71,0.00,0.26,0.19,0.31,0.11,84.54,460,127,5.57,676.42
0.05,0.05,2.45,0.01,2.65,0.10,7.69,0.15,0.01,0.14,0.24,0.45,0.00,0.20,0.33,0.30,0.13,85.06,460,123,6.06,676.38
0.03,0.05,2.51,0.01,2.69,0.10,7.71,0.14,0.00,0.16,0.23,0.34,0.00,0.23,0.25,0.27,0.15,85.14,466,125,5.20,676.03
