Si,Fe,Cu,Mn,Mg,Cr,Zn,V,Ti,Zr,Li,Ni,Be,Sc,Ag,Bi,Pb,Al,SS Temp,Ageing Temp,Ageing Time,UTS_pred
0.050545,0.051232,2.457931,0.012633,2.588669,0.190353,7.359820,0.137281,0.013173,0.161783,1.225155,0.175215,0.000704,0.179956,0.105936,0.171445,0.165347,84.952821,460.475762,127.656872,24.000000,717.419678
0.050545,0.051232,2.457931,0.012633,2.588669,0.190353,7.359820,0.137281,0.013173,0.161783,1.225155,0.175215,0.000704,0.179956,0.105936,0.171445,0.165347,84.952821,460.475762,127.656872,24.000000,717.419678
0.050545,0.051230,2.457948,0.012633,2.591363,0.190353,7.359823,0.137379,0.013173,0.161784,1.224814,0.176218,0.000600,0.179958,0.106300,0.141385,0.165546,84.978948,460.940314,127.656962,24.000000,717.419678
0.050545,0.051231,2.457941,0.012633,2.590348,0.190353,7.359822,0.136754,0.013173,0.161783,1.224942,0.175840,0.000639,0.157166,0.106163,0.152714,0.165471,84.992481,460.765236,127.656928,24.000000,717.419678
0.050545,0.051232,2.457933,0.012633,2.589060,0.190353,7.359820,0.158000,0.013173,0.161783,1.225105,0.175360,0.000689,0.179956,0.105989,0.167092,0.132712,84.968564,460.543045,127.656885,24.000000,717.419678
0.050545,0.051231,2.457942,0.012633,2.590520,0.190353,7.359822,0.151403,0.013173,0.161783,1.224920,0.175904,0.000633,0.161024,0.106186,0.150796,0.148940,84.992190,460.794875,127.656934,24.000000,717.419678
0.050545,0.051230,2.457947,0.012633,2.591191,0.190353,7.359822,0.137273,0.013173,0.161784,1.224835,0.176154,0.000606,0.176100,0.106277,0.143303,0.146681,85.000091,460.910675,127.656956,24.000000,717.419678
0.050545,0.051230,2.457947,0.012633,2.591191,0.190353,7.359822,0.137273,0.013173,0.161784,1.224835,0.176154,0.000606,0.176100,0.171337,0.143303,0.076576,85.005136,460.910675,127.656956,24.000000,717.419678
0.050545,0.050971,2.457896,0.012816,2.590038,0.190353,7.176270,0.141760,0.013173,0.161787,1.224809,0.177069,0.000649,0.162621,0.092264,0.156237,0.167823,85.172918,460.682032,127.657450,24.000000,717.419678
0.050545,0.051188,2.465448,0.012641,2.588673,0.190349,7.358173,0.118168,0.013182,0.162515,1.221050,0.312408,0.000664,0.180281,0.105148,0.170087,0.159447,84.840032,460.131257,127.679237,24.000000,717.419678
0.050545,0.050984,2.457898,0.012807,2.589990,0.190353,7.185292,0.142558,0.013173,0.161787,1.224824,0.176985,0.000651,0.163473,0.092938,0.156108,0.166097,85.163536,460.675200,127.657422,24.000000,717.419678
0.050545,0.051231,2.457942,0.012633,2.590520,0.190353,7.359822,0.151403,0.013173,0.161783,1.224920,0.188266,0.000633,0.161024,0.106186,0.150796,0.148940,84.979829,460.794875,127.656934,24.000000,717.419678
0.050545,0.051225,2.459060,0.012634,2.590245,0.190353,7.359576,0.146452,0.013174,0.161892,1.224344,0.196238,0.000653,0.163893,0.106032,0.153670,0.092146,85.027868,460.696021,127.660256,24.000000,717.419678
0.050545,0.051232,2.457932,0.012633,2.588947,0.190353,7.359820,0.139398,0.013173,0.161783,1.225120,0.112110,0.000694,0.177118,0.105974,0.168350,0.162887,85.021931,460.523600,127.656882,24.000000,717.419678
0.050545,0.051446,2.457428,0.012634,2.590038,0.190349,7.342054,0.146451,0.013182,0.162040,1.221025,0.159537,0.000611,0.165407,0.103549,0.156672,0.102993,85.074039,460.009209,127.681296,24.000000,717.419678
0.050545,0.051011,2.458094,0.012456,2.589782,0.190324,7.188403,0.142805,0.013890,0.161715,1.238587,0.322757,0.000652,0.163883,0.093042,0.156318,0.165797,84.999939,460.620691,127.639761,24.000000,717.419678
0.050545,0.051231,2.457945,0.012633,2.591002,0.190353,7.359822,0.134888,0.013173,0.161784,1.224859,0.176083,0.000614,0.176389,0.166423,0.145418,0.083247,85.003590,460.877993,127.656950,24.000000,717.419678
0.050545,0.051232,2.457932,0.012633,2.588869,0.190353,7.359820,0.138806,0.013173,0.161783,1.225129,0.129751,0.000895,0.177911,0.105963,0.169215,0.163575,85.002413,463.113975,127.656879,24.000000,717.419678
