EL
12.7
5.8
18.8
6.0
9.5
18.68
9.5
17.8
3.9
10.8
17.5
10.0
18.3
17.3
17.0
13.0
8.0
10.0
9.0
11.8
24.9
12.0
18.5
20.0
17.1
20.0
2.0
1.7
8.0
12.0
2.0
16.0
24.0
22.0
13.0
19.6
9.0
5.4
9.0
17.0
22.0
16.4
8.3
7.0
4.0
16.5
11.1
3.7
24.1
0.5
14.8
21.8
12.0
21.0
19.0
17.0
11.0
15.0
13.3
19.4
18.0
22.0
1.83
13.2
14.0
13.4
13.0
12.5
29.1
20.6
11.0
13.0
9.0
20.2
5.4
18.0
10.0
41.6
17.0
11.0
16.9
8.6
10.0
13.0
10.0
14.9
8.2
19.3
15.4
16.0
9.0
19.2
12.3
9.7
9.9
6.0
3.0
15.5
28.4
6.0
17.0
11.0
34.0
10.0
11.0
15.0
4.7
22.0
14.3
8.9
12.0
9.0
19.7
17.5
16.0
7.0
11.0
11.4
15.4
14.4
22.3
25.6
6.3
11.0
17.7
3.0
2.8
9.0
15.0
1.0
8.0
15.5
9.0
7.0
12.0
10.0
20.0
2.4
13.0
25.2
16.9
24.1
3.0
6.8
10.0
20.0
17.5
9.0
3.1
5.5
8.2
6.0
2.0
8.8
2.0
13.0
26.3
13.0
4.2
10.0
22.7
16.3
1.69
15.5
5.0
16.7
14.0
24.1
10.0
15.9
39.0
8.0
23.6
11.7
15.0
27.0
11.1
1.0
31.1
4.7
11.7
7.0
20.0
15.0
13.0
15.1
17.6
2.0
12.7
11.6
20.5
10.0
4.6
16.5
22.3
14.0
22.0
5.0
28.0
6.0
15.4
16.0
12.0
11.0
4.7
8.0
14.0
18.0
14.2
4.1
11.0
24.5
13.6
13.0
10.0
10.0
10.7
6.1
16.0
14.7
11.4
15.9
24.6
15.2
10.6
10.0
12.3
12.0
7.0
12.0
9.1
13.0
20.5
10.0
12.5
11.0
5.0
15.3
23.4
9.0
6.0
14.0
15.0
10.8
6.5
17.0
12.4
26.0
19.5
11.2
13.0
10.0
16.2
22.0
33.0
14.0
10.0
12.0
11.8
14.3
7.9
11.0
47.9
10.9
10.4
12.0
2.7
4.4
14.0
17.0
11.13
25.4
10.3
11.3
3.7
16.0
26.3
5.3
3.0
19.1
15.6
11.0
15.3
15.0
32.9
12.2
10.1
8.5
20.9
14.0
3.6
12.0
10.0
5.0
7.9
25.0
19.4
7.6
1.8
18.8
7.6
11.0
5.5
14.5
13.0
16.1
17.1
8.0
14.5
10.0
22.0
4.0
12.4
21.4
9.0
7.7
17.2
16.3
24.0
16.5
4.3
12.0
22.3
4.0
15.3
13.8
11.0
12.0
9.0
4.0
10.0
12.2
15.0
14.2
12.0
15.1
16.6
13.0
8.0
8.4
20.0
13.2
10.0
9.0
23.0
9.8
17.5
8.9
23.3
13.0
3.6
15.7
15.5
19.0
10.0
2.0
16.3
7.0
6.0
19.0
11.9
6.5
19.75
17.0
8.2
11.7
